DIRIGENTE - COMAS
VRAEM
REVISTA CARETAS
PARTICULAR
PARTICULAR
MUNICIPALIDAD DISTRITAL DE LLAMA - ANCASH
CAJA AREQUIPA
RIMAC SEGUROS
EMPRESA JCL
EMPRESA GRAFISELLO
CONSORCIO LUREN
MUNICIPALIDAD DISTRITAL DE AUCARA - AYACUCHO
CONVENIO 152 SJM
MUNICIPALIDAD DISTRITAL DE ANCO - APURIMAC
COALA
VARIOS
BAFING
MUNICIPALIDAD DISTRITAL DE LLAMA - ANCASH
PARTICULAR
PARTICULAR
CONSULTORIA
SYCOSMEL
SYCOSMEL
MUNICIPALIDAD DE YOMAN-CAJAMARCA
MUNICIPALIDAD DE YOMAN-CAJAMARCA
CONSULTOR INDIVIDUAL
SUPERINTEDENCIA DE BIENES NACIONALES
VARIOS
MUNICIPALIDAD DISTRITAL DE CHOTA - CAJAMARCA
PARTICULAR
PARTICULAR
CENTRO POBLADO ERBAY ALTO CAÑETE
CENTRO POBLADO ERBAY ALTO CAÑETE
CONVENIO 152
MUNICIPALIDAD DISTRITAL DE HUANCABAMBA - PASCO
ARENAL ALTO - VILLAMARIA DEL TRIUNFO
ARENAL ALTO - VILLAMARIA DEL TRIUNFO
SUNRISE
PROCESO CAS
PROCESO CAS
UNOPS
DIRIGENTE - PUENTE PIEDRA
COMISIÓN - HUAROCHIRI
COMISIÓN - HUAROCHIRI
PARTICULAR
PROCESO CAS
PROCESO CAS
DINI
PARTICULAR
PARTICULAR
CONSORCIO LA YARADA
CONSORCIO TRUJILLO
CONSORCIO TRUJILLO
MUNICIPALIDAD PROVINCIAL DEL PAUCAR DEL SARA SARA
UNI
PARTICULAR
PARTICULAR
FONDO MIVIVENDA
MUNIC.PROV.CASMA/ANCASH
DIARIO EL PERUANO
INSTITUTO IDEA
CORMAN INGENIERO
AT INVERSIONES SAC
MUNICIPALIDAD DISTRITAL DE SURCUBAMBA - HUANCAVELI
CONSORCIO COORPORACION INCA PERU
PARTICULAR
MUNICIPALIDAD DISTRITAL SANTA - CHIMBOTE - ANCASH
MUNICIPALIDAD DISTRITAL SANTA - CHIMBOTE - ANCASH
MINI. ENERGIA Y MINAS
PARTICULAR
FONDO MIVIVIENDA
PARTICULAR
PARTICULAR
PARTICULAR
MUNICIPALIDAD DIS BOLOGNESI-ANCASH
RADIO UNIVERSAL CUSCO
MUNICIPALIDAD DISTRITAL DE CASMA
MUNICIPALIDAD DISTRITAL DE POMATA - PUNO
MUNICIPALIDAD PROVINCIAL PAUCAR DEL SARA SARA
SUPERVISOR DE OBRAS
MUNCIPALIDAD PROV MARISCAL CACERES - SAN MARTIN
PARTICULAR
PARTICULAR
PARTICULAR
PARTICULAR
TELEFONICA
OLVA COURIER
MUNICIPALIDAD DISTRITAL DE NAMBALLE - CAJAMARCA
AGUA LIMPIA
AGUA LIMPIA
PARTICULAR
EMPRESA TALLER DE GRAFICOS
MUNICIPALIDAD DISTRITAL DE BELEN - LORETO
MUNICIPALIDAD DISTRITAL DE HUAMANCACA - JUNIN
MUNICIPALIDAD DISTRITAL DE HUAMANCACA - JUNIN
PARTICULAR
PARTICULAR
PARTICULAR
PARTICULAR
PARTICULAR
